pruid,prename,prfname,week_end,product_name,numtotal_atleast1dose,numtotal_partially,numtotal_fully,prop_atleast1dose,prop_partially,prop_fully,,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully
1,Canada,Canada,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2020-12-19,Pfizer-BioNTech,12360,12360,0,0.07,0.07,0.00,,,,,
1,Canada,Canada,2020-12-19,Unknown,2,2,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Pfizer-BioNTech,972,972,0,0.19,0.19,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Pfizer-BioNTech,1092,1092,0,0.11,0.11,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
24,Quebec,Québec,2020-12-19,Pfizer-BioNTech,4728,4728,0,0.06,0.06,0.00,,,,,
24,Quebec,Québec,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,Pfizer-BioNTech,894,894,0,0.06,0.06,0.00,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Pfizer-BioNTech,1042,1042,0,0.09,0.09,0.00,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Pfizer-BioNTech,3632,3632,0,0.07,0.07,0.00,,,,,
59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,2,2,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2020-12-19,Pfizer-BioNTech,0,0,0,0.00,0.00,0.00,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Pfizer-BioNTech,0,0,0,0.00,0.00,0.00,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-19,Not reported,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-19,Pfizer-BioNTech,0,0,0,0.00,0.00,0.00,,,,,
62,Nunavut,Nunavut,2020-12-19,Unknown,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
1,Canada,Canada,2020-12-26,Pfizer-BioNTech,46153,46153,0,0.20,0.20,0.00,,,,,
1,Canada,Canada,2020-12-26,Unknown,3,3,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Pfizer-BioNTech,1785,1785,0,0.34,0.34,0.00,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Pfizer-BioNTech,1146,1146,0,0.72,0.72,0.00,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Not reported,0,0,0,0.00,0.00,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Pfizer-BioNTech,2218,2218,0,0.23,0.23,0.00,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,0,0,0,0.00,0.00,0.00,,,,,
